識別碼,新聞標題,新聞分類,發布日期,新聞連結,來源媒體,folder,子安,予瑄,LLM,子安 vs 予瑄,子安 vs LLM,予瑄 vs LLM
news_eb6a9ebb13be62670e2478f7ddd91ca5,烏克蘭外長訪中　美媒：尋求結束戰爭之道,y 軍武,45498.47639,https://www.ettoday.net/news/20240725/2782810.htm,2011 ETtoday.net. All Rights Reserved.,政治新聞,中立,中立,中立,相同,相同,相同
news_a9806ff20fd7e3018ba30c51a8cbefa8,提前祝賀川普當選！薩爾瓦多總統嗨翻發文　成全球元首第一人,國際新聞,45602.66597,https://www.ettoday.net/news/20241106/2849761.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_184084c4821e8e366597ce3d54463d97,SAFE！　川普遇襲後首發文報平安：以身為美國人而驕傲,國際新聞,45551.53611,https://www.ettoday.net/news/20240916/2817913.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,支持,支持,中立,相同,不相同,不相同
news_41b9c13ff9d7862a4ef334e2bbad42af,華郵專訪　川普：台灣國防預算「應占GDP10%」,國際新聞,45566.38681,https://www.ettoday.net/news/20241001/2826844.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_d1d8e83953d220450f27c9b91ff80666,拜登批川粉是「垃圾」惹議 　賀錦麗：不認同,國際新聞,45596.29722,https://www.ettoday.net/news/20241031/2845637.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,反對,相同,相同,相同
news_70a5ebf2c3f96775200d024ff554c031,美國總統大選結果何時出爐？　紐時回顧2次開票爭議始末,國際新聞,45595.92014,https://www.ettoday.net/news/20241030/2845574.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,不相同,不相同
news_8eea9ef0bbb73e7b4028c4323e8d2766,美「經濟指標穩健」選民卻悲觀　不利賀錦麗選情,國際新聞,45574.65278,https://www.ettoday.net/news/20241009/2832252.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_63438cadb6b5e10f8f513bf3a43883b2,超車川普！賀錦麗大逆轉　最新賭盤：勝選率逼近5成,國際新聞,45514.35139,https://www.ettoday.net/news/20240810/2794555.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,中立,相同,相同,相同
news_e61df35ec98644e574e44e628454627c,美前總統卡特剛過百歲生日！　郵寄投票「挺賀」：完成心願,國際新聞,45582.43472,https://www.ettoday.net/news/20241017/2836758.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,中立,中立,反對,相同,不相同,不相同
news_6316ca703b62442a79513e954719e89b,快訊／川普回應拜登退選「他是史上最糟總統」　換賀錦麗更好打,國際新聞,45495.10278,https://www.ettoday.net/news/20240722/2781901.htm,2011 ETtoday.net. All Rights Reserved.,國際新聞,反對,中立,中立,不相同,不相同,相同
