識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間,folder
news_eb6a9ebb13be62670e2478f7ddd91ca5,烏克蘭外長訪中　美媒：尋求結束戰爭之道,y 軍武,2024-07-25 03:26:00+00:00,烏克蘭總統澤倫斯基近日首次暗示，有意願與俄羅斯就結束烏克蘭戰爭進行談判，而烏克蘭外交部長庫列巴今日起訪中；美媒報導，烏方主要議題包括尋求結束俄羅斯侵略戰爭之道，及中國可能發揮的作用。,https://www.ettoday.net/news/20240725/2782810.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/01/2024 12:20:14,政治新聞
news_a9806ff20fd7e3018ba30c51a8cbefa8,提前祝賀川普當選！薩爾瓦多總統嗨翻發文　成全球元首第一人,國際新聞,2024-11-06 07:59:00+00:00,2024美國總統大選的開票工作進入尾聲，如今共和黨參選人川普已經奪下277張選舉人票，確定當選美國總統。對此，位於中美洲北部的國加薩爾瓦多立刻恭賀川普當選，該國總統成為第一個祝賀川普當選的國家元首。,https://www.ettoday.net/news/20241106/2849761.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:20:15,國際新聞
news_184084c4821e8e366597ce3d54463d97,SAFE！　川普遇襲後首發文報平安：以身為美國人而驕傲,國際新聞,2024-09-16 04:52:00+00:00,美國共和黨總統候選人川普15日在佛州打高爾夫球，險遭埋伏在灌木叢中的58歲槍手魯斯（Ryan Wesley Routh）攻擊。川普遇襲後首度在社群平台發文報平安，並感謝執法部門的努力與外界關心。,https://www.ettoday.net/news/20240916/2817913.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/23/2024 12:22:03,國際新聞
news_41b9c13ff9d7862a4ef334e2bbad42af,華郵專訪　川普：台灣國防預算「應占GDP10%」,國際新聞,2024-10-01 01:17:00+00:00,美國共和黨總統候選人川普近期受訪，就台海安全議題指出，中國終究會攻打台灣，但不會在他任內發生。他認為台灣的國防支出不夠，應該提高到國內生產毛額的10%。,https://www.ettoday.net/news/20241001/2826844.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/08/2024 12:23:46,國際新聞
news_d1d8e83953d220450f27c9b91ff80666,拜登批川粉是「垃圾」惹議 　賀錦麗：不認同,國際新聞,2024-10-30 23:08:00+00:00,美國總統拜登29日批評共和黨候選人川普的支持者是「垃圾」，此言一出引發爭議，不僅惹怒共和黨人，而且可能傷害民主黨候選人賀錦麗的選情。賀錦麗30日試圖與拜登保持距離。,https://www.ettoday.net/news/20241031/2845637.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/07/2024 12:28:52,國際新聞
news_70a5ebf2c3f96775200d024ff554c031,美國總統大選結果何時出爐？　紐時回顧2次開票爭議始末,國際新聞,2024-10-30 14:05:00+00:00,美國總統大選將於11月5日登場，但投票結果何時出爐卻值得探究。上次大選計票爭議引發的種種紛擾，人們記憶猶新，這次會有何異同？「紐約時報」撰文詳細解說。,https://www.ettoday.net/news/20241030/2845574.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/06/2024 12:39:06,國際新聞
news_8eea9ef0bbb73e7b4028c4323e8d2766,美「經濟指標穩健」選民卻悲觀　不利賀錦麗選情,國際新聞,2024-10-09 07:40:00+00:00,儘管各項指標顯示美國經濟正朝穩健的方向前進，但許多美國人對於商業和就業前景仍感到悲觀，這種情緒對民主黨總統候選人賀錦麗（Kamala Harris）構成令人沮喪的問題。,https://www.ettoday.net/news/20241009/2832252.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/16/2024 12:26:10,國際新聞
news_63438cadb6b5e10f8f513bf3a43883b2,超車川普！賀錦麗大逆轉　最新賭盤：勝選率逼近5成,國際新聞,2024-08-10 00:26:00+00:00,美國最新賭盤顯示，民主黨參選人、副總統賀錦麗（Kamala Harris）的勝率已超過共和黨候選人、前總統川普，成為博弈業者看好入主白宮的人選。,https://www.ettoday.net/news/20240810/2794555.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/17/2024 12:17:00,國際新聞
news_e61df35ec98644e574e44e628454627c,美前總統卡特剛過百歲生日！　郵寄投票「挺賀」：完成心願,國際新聞,2024-10-17 02:26:00+00:00,美國前總統卡特（Jimmy Carter）今天透過郵寄方式提前選票，他曾在滿百歲前許下心願，希望自己活得夠久，將票投給民主黨總統候選人賀錦麗。,https://www.ettoday.net/news/20241017/2836758.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/24/2024 12:20:11,國際新聞
news_6316ca703b62442a79513e954719e89b,快訊／川普回應拜登退選「他是史上最糟總統」　換賀錦麗更好打,國際新聞,2024-07-21 18:28:00+00:00,美國總統拜登（Joe Biden）在台灣時間22日凌晨宣布「放棄競選連任」。美國前總統、共和黨總統候選人川普隨即告訴CNN，拜登將成為美國歷史上最糟糕的總統。,https://www.ettoday.net/news/20240722/2781901.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:17:23,國際新聞
