識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_6553b3d2bfe375b58c9a6a8a85329a08,美媒：中國政府不為經濟下猛藥 恐與美國大選有關,兩岸透視,2024-08-08T11:24:27Z,（中央社台北8日電）華爾街日報今天發表評論指出，中共7月間接連召開的20屆三中全會及政治局會議，雖都聚焦經濟，卻都「說得多做得少」，令期待中國推出措施大力提振疲軟經濟的投資人失望。至於為何如此謹慎，則與年底的美國總統大選有關。,https://www.cna.com.tw/news/acn/202408080344.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,08/15/2024 12:17:23
news_f96a9b85adc662b52dc11caca1a8ca8c,深偽技術下 川普賀錦麗合唱「我愛你中國」,兩岸透視,2024-09-15T03:03:09Z,（中央社台北15日電）一段經由深偽技術偽造的影片近期出現在中國社群平台，只見美國兩黨總統候選人川普、賀錦麗合唱著「我愛你中國」。分析說，用這種方式調侃美國領導人可能讓中國網友感到一種「文化自信」，但也凸顯無法以相同方法對待自家領導人的現實。,https://www.cna.com.tw/news/acn/202409150041.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,09/22/2024 12:19:46
news_6e02115d55b561d5815f92038262ce61,拜登還在抗爭？陸學者稱別小看現任總統　川普恐面臨「二打一」,大陸新聞,2024-07-22T09:37:00Z,美國總統拜登宣布退選，在政治湖面再次攪動了漩渦。復旦大學國際政治系教授沈逸認為，拜登支持副總統賀錦麗競選白宮大位是心有不甘的抗爭，而他退選後的位置反而變得微妙，所能調動的資源是外界難以想像的，若共和黨應對不當，前總統川普會陷入「二打一」，選擇「躺贏」肯定會被「玩死」。,https://www.ettoday.net/news/20240722/2782400.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:18:39
news_b60e38c4a83f8e1c4bb9258d073a559e,中國專家夏偉：美中關係惡化關鍵是習近平,兩岸透視,2024-08-30T11:40:33Z,（中央社記者張淑伶台北30日電）亞洲協會美中關係中心主任夏偉（Orville Schell）今天在台北出席新書發表會。他指出，美國對中國的「接觸政策」正在崩潰，美中關係惡化的關鍵在於中共總書記習近平。,https://www.cna.com.tw/news/acn/202408300326.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,09/06/2024 12:20:35
news_e7dbb298c4ea1cda46543cc7efce471a,美大選中國希望誰出線  吳心伯：都不好但川普更糟,兩岸透視,2024-08-30T14:47:41Z,（中央社台北30日電）美國總統大選11月5日登場，中國學者吳心伯說，兩位候選人的對中政策，從中國的角度看都不好，但目前看來，川普（Donald Trump）的對中政策「壞」的成分更多一些。,https://www.cna.com.tw/news/acn/202408300385.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,09/06/2024 12:20:35
news_e8ebf4d09d79ee4a638b1d747d84d6d5,烏克蘭外長訪中 中國學者：烏尋求保險緩解憂慮,兩岸透視,2024-07-23T11:18:06Z,（中央社台北23日電）烏克蘭外交部長庫列巴今日起訪中。中國學者分析此次訪中行程安排臨時，顯示烏克蘭選擇愈來愈少，須提前尋找「保險桿」，來緩解之後美國可能提出以領土換和平所引起的憂慮。,https://www.cna.com.tw/news/acn/202407230363.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,07/30/2024 12:16:50
news_be7d43371496b5c7b94401cece7c420b,烏克蘭外長訪中 美媒：尋求結束戰爭之道,兩岸透視,2024-07-23T02:09:54Z,（中央社台北23日電）烏克蘭總統澤倫斯基近日首次暗示，有意願與俄羅斯就結束烏克蘭戰爭進行談判，而烏克蘭外交部長庫列巴今日起訪中；美媒報導，烏方主要議題包括尋求結束俄羅斯侵略戰爭之道，及中國可能發揮的作用。,https://www.cna.com.tw/news/aopl/202407230040.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,07/30/2024 12:16:50
news_1609b7a1ef925e9b6b6011fe4349b853,賀錦麗角逐美總統 專家：對中採取鷹派以求勝,兩岸透視,2024-07-23T06:58:37Z,（中央社台北23日電）美國總統拜登21日宣布退出選舉，媒體統計，表態支持副總統賀錦麗的黨代表人數已超過提名門檻；美國專家分析，她在選戰過程中將會對中國採取鷹派態度，以增加勝選機率。,https://www.cna.com.tw/news/aopl/202407230205.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,07/30/2024 12:16:50
news_14ddfc26bbb60084e6ecc4d1cddc7fee,拜登退選北京「不評論內政」　官方智庫：賀錦麗「接盤俠」具3優勢,大陸新聞,2024-07-23T03:37:00Z,美國總統拜登閃電退選，中方回應是「美國的內政，不做評論」，官方智庫「中國社會科學院」美國問題專家呂祥則發表分析稱，目前形勢不利於民主黨，賀錦麗在某種意義上也是「接盤俠」，她未必情願但確實是最好的選擇，但時勢使她必須走到候選人的位置，而拜登在沒有競選負擔後，可能會採取更為大膽的行動。,https://www.ettoday.net/news/20240723/2782821.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/30/2024 12:16:50
news_da2b2650cb0e415a454e4c5ea5cf8eff,厄瓜多停止免簽 玻利維亞成為中國走線客新跳板,兩岸透視,2024-08-05T12:14:25Z,（中央社台北5日電）厄瓜多6月間暫停中國公民免簽入境，意圖遏止中國非法移民當跳板「走線」美國。但美媒報導，有中國「走線客」7月起改從距美國更遙遠的玻利維亞入境，再經秘魯、厄瓜多由原路線偷渡美國，路程最長達約7000英里（約1.13萬公里）。,https://www.cna.com.tw/news/acn/202408050307.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,08/12/2024 12:18:28
