識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_6fdeeb607eb5b7a1b20db911c03d93f6,台積電跌9元至961　台股殺逾百點回測22700,新聞雲,7/22/2024 17:02,美股上周最後一個交易日走跌，台股今（22）日開盤持續震盪。台積電（2330）跌9元至961元，指數跌逾百點回測22700點整數大關。,https://finance.ettoday.net/news/2781950,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,7/29/2024 20:17
news_6c90ba18ad06630150568b93ee119447,賀錦麗以「富士康投資威州」為例　批川普經濟政策光說不練,新聞雲,11/3/2024 1:13,美國民主黨總統候選人賀錦麗今天說，她的共和黨對手川普曾承諾科技企業富士康會在威斯康辛州大舉投資100億美元、創造上萬個工作機會，最後只是一張「空頭支票」。,https://www.ettoday.net/news/20241102/2847301.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/9/2024 20:21
news_fd8df0167277e2968791476a763f3a2b,台股2天市值蒸發153座101！老謝：全球震央在日本,新聞雲,8/6/2024 5:25,台股5日全面血洗，加權指數大跌1807.21點，跌幅高達8.35％，成為歷史上跌幅最高的紀錄。對此，財信傳媒董事長謝金河表示，有報導稱這兩個交易日市值蒸發了153座101大樓，而除了台股以外，日經指數同樣也大跌，今年的漲幅已跌光。,https://finance.ettoday.net/news/2791571,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,8/12/2024 20:19
news_2faa49a77f2916e53ba38658800eb3a4,美大選在即　澤倫斯基下週訪美擬會賀錦麗、川普,新聞雲,9/20/2024 13:42,烏克蘭總統澤倫斯基下週將在白宮與美國總統拜登、副總統賀錦麗會面。而根據烏克蘭總統府，澤倫斯基也計劃在下週訪美期間，與前美國總統川普見面。,https://www.ettoday.net/news/20240920/2820185.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,9/27/2024 20:24
news_d0bc8bd1722e239eb7ea91d3795694cd,美國檢方：川普刺客數月前寫好信件言明進行暗殺,新聞雲,9/24/2024 14:30,美國檢方今天指出，涉嫌計劃殺害共和黨總統候選人川普的槍手勞斯於行動之前數個月就針對「暗殺企圖」寫好一封內容令人不寒而慄的信件。,https://www.ettoday.net/news/20240924/2822434.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/1/2024 20:20
news_432936ddf87b1c791f8bd89639296f6c,拳擊女將陷性別爭議晉4強確定奪牌　匈牙利對手：這不是她的錯,新聞雲,8/4/2024 22:10,深陷性別爭議的阿爾及利亞拳擊女將克莉芙（Imane Khelif），打進女子拳擊66公斤級4強確定奪牌，賽後對手匈牙利籍的哈莫里（Anna Luca Hamori）提及性別爭議，「這不是她的錯。」,https://sports.ettoday.net/news/2790717,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,8/11/2024 20:18
news_fa6e9fc96ad9461ee7262241f09d3c3d,00844B、00775B配息創高　一表看債券ETF11月除息概況,新聞雲,11/2/2024 14:00,11月債券ETF除息秀開跑! 根據CMoney統計，新光15年IG金融債ETF (00844B)、新光投等債15+(00775B)公告每受益權單位「預估」配發金額，皆為0.57元、0.57元，金額均創下掛牌以來新高，在已公布的12檔除息債券ETF中，00844B、00775B兩檔的年化配息率分別暫居同業第一、第二高的水準。,https://finance.ettoday.net/news/2846946,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/9/2024 20:21
news_9e2f965e1d74a95230c72f803f40a4c8,歐巴馬醫改是隱性議題　還是精心策劃政治謀略？,新聞雲,9/20/2024 18:35,在多次總統大選中，儘管歐巴馬醫改法案在公眾及媒體中掀起巨大波瀾，這一議題卻並未成為選民們關注的焦點。相反，歐巴馬醫改似乎是一個由各方利益牽制、妥協下所拼湊出的方案，而非真正解決美國醫療體系根本問題的改革。,https://forum.ettoday.net/news/2819507,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,9/27/2024 20:24
news_2886a889f17f4c2dcef5c176cf151ba9,MSNBC播報川普造勢 插播納粹集會畫面引爆爭議,即時新聞,10/29/2024 16:56,"美國MSNBC新聞網在27日報導前總統川普在紐約麥迪遜廣場花園的造勢活動時，將現場畫面與1939年納粹集會的歷史影像並列播出，此舉引發輿論強烈抨擊。

MSNBC在直播報導...…",https://news.ltn.com.tw/news/world/breakingnews/4845087,自由時報,https://news.ltn.com.tw/list/breakingnews/all,11/5/2024 20:24
news_b992e964b2d785841024fe64c2196bc8,風向變了？美《華郵》拒為候選人背書 貝佐斯：避免偏見觀感,即時新聞,10/29/2024 20:52,《華盛頓郵報》老闆、全球最大電商龍頭亞馬遜（Amazon）創辦人貝佐斯（Jeff Bezos）27日打破沉默，為該報決定放棄公開支持任何美國總統候選人的決定辯護，強調「政治背書...…,https://news.ltn.com.tw/news/world/breakingnews/4845391,自由時報,https://news.ltn.com.tw/list/breakingnews/all,11/5/2024 20:24
news_0440c2ab135cb681efd112d61baa90d9,將川普造勢場比作納粹集會 賀錦麗陣營惹眾怒,即時新聞,10/29/2024 20:59,美國民主黨副總統候選人華茲（Tim Walz）27日將前總統川普在紐約麥迪遜廣場花園（Madison Square Garden）的造勢活動，與1939年納粹支持者在同地舉行的...…,https://news.ltn.com.tw/news/world/breakingnews/4845410,自由時報,https://news.ltn.com.tw/list/breakingnews/all,11/5/2024 20:24
news_8b99a9b845230d9e921d832ec018e4f8,費城檢察官出手！馬斯克百萬美元贈送活動恐觸法,即時新聞,10/29/2024 23:27,美國賓州費城地方檢察長克拉斯納（Larry Krasner）28日對特斯拉執行長馬斯克（Elon Musk）及其政治行動委員會提起民事訴訟，指控其在關鍵搖擺州的百萬美元贈金活動...…,https://news.ltn.com.tw/news/world/breakingnews/4845635,自由時報,https://news.ltn.com.tw/list/breakingnews/all,11/5/2024 20:24
news_2280d85b4b1a77ba07c95ba75d19a5a6,川普當選！日股收漲千點　美道瓊期飆700點,新聞雲,11/6/2024 22:57,美國總統大選共和黨候選人川普確定當選，日股以大漲逾千點作收，道瓊期貨飆漲近700點，美股夜盤川普媒體科技漲超40%，一直力挺川普馬斯克的特斯拉也漲12%。,https://finance.ettoday.net/news/2849730,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
news_693419300bd58eb216f5221ed3118787,《紐時》解析賀錦麗選戰策略：與拜登保持距離 塑造獨立形象,即時新聞,10/30/2024 4:59,"多位白宮和賀錦麗競選團隊官員透露，2024年美國總統大選的最後幾天，副總統賀錦麗的競選團隊正刻意與拜登總統保持距離，認為這位不受歡迎的現任總統對賀錦麗的選情而言，弊大於利。
...…",https://news.ltn.com.tw/news/world/breakingnews/4846101,自由時報,https://news.ltn.com.tw/list/breakingnews/all,11/5/2024 20:24
news_15235786a633bee231cb385c502c8dc4,民調被賀錦麗反超　川普恐再操縱民粹重演國會暴動,新聞雲,8/19/2024 20:25,一定程度上說，美國極端右翼力量的活躍發展，有力地動員了選民的熱情，這成為川普贏得2016年大選的重要原因之一。為此，在可預見的2024年大選中，極端右翼力量的發展也將發揮類似重要作用。,https://forum.ettoday.net/news/2800002,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,8/26/2024 20:23
