識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_bf07aa6cbd3aa5bfc6375b418886576f,搖擺州造勢 拜賀首同台,國際新聞,2024-09-03T21:30:00Z,〔編譯周虹汶／綜合報導〕美國總統拜登繼上月十九日在民主黨全國代表大會上正式交棒，由副總統賀錦麗代表民主黨角逐年底白宮寶座後，兩人二日在關鍵搖擺州賓州首度同台造勢。拜登全力為賀錦麗輔選，強調「這次你只有一個人可以理性選擇——那就是賀錦麗」，並承諾「我會在一旁，盡我所能提供協助」，企圖展現民主黨大團結氣…,https://news.ltn.com.tw/news/world/paper/1665284,自由時報,https://news.ltn.com.tw/list/breakingnews/world,09/11/2024 12:22:57
news_af7a3badc1b05b7ea83ad05ff51bc441,美檢新版起訴書控意圖推翻大選結果 川普放棄應訊堅不認罪,國際焦點,2024-09-04T02:33:56Z,（中央社華盛頓3日綜合外電報導）根據今天提交的法院文件，美國前總統川普將對修正版起訴書中指控他意圖推翻2020年總統大選結果表示不認罪。,https://www.cna.com.tw/news/aopl/202409040057.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/11/2024 12:22:57
news_edbcfab90dde7c0564a6241b49bed0f8,改善美中關係 北京肖想「季辛吉二號」,國際新聞,2024-10-28T21:30:00Z,〔編譯林家宇／綜合報導〕美國與中國近年在地緣政治、科技、商業和軍事等領域的衝突與競爭加劇，導致兩國關係逐年惡化。隨著美國總統大選逼近，即使民主黨總統候選人賀錦麗與共和黨候選人川普在外交政策細節上存在差異，卻都強調將對中國採取強硬作風。「華盛頓郵報」廿八日報導，中國出現誰能夠成為下一位前美國國務卿季辛…,https://news.ltn.com.tw/news/world/paper/1674302,自由時報,https://news.ltn.com.tw/list/breakingnews/world,11/05/2024 12:22:55
news_2eba9f4812a161067b9a0f12f7afa093,川普辯論「縮了」　賀錦麗趁勢追擊：有種當面對我說,國際新聞,2024-07-31T00:14:00Z,美國共和黨總統參選人川普先前承諾與副總統賀錦麗辯論，近日似乎想食言，質疑兩人辯論的價值，稱「很可能會辯論」，也可「提出充分理由不辯論」。賀錦麗30日在亞特蘭大造勢現場直接對著鏡頭喊話川普，「我真的希望你重新考慮和我在辯論台上面對面，就像那句老話，『如果你有話想說，就當面對我說。』」,https://www.ettoday.net/news/20240731/2787891.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/07/2024 12:17:13
news_e3a22a62f5cc96c5d8e4b50ec4c794ef,川普獨裁言論引恐慌！　二度喊話：投給我就不用再投票了,國際新聞,2024-07-31T00:55:00Z,美國共和黨總統參選人川普上周末發表了驚人言論，在對基督徒拉票時竟然說道「把票投給我，這樣以後你們就不用再投票了。」他29日重複這樣的說法；這種言論引發民主黨與反對者的嚴重疑慮，認為川普若真的當選，將會改變美國體制，使自己能夠一直掌握美國大權。,https://www.ettoday.net/news/20240731/2787903.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/07/2024 12:17:13
news_b0f6221c73340a66a6451d22bbcab7ce,馬斯克幫川普催票　介紹1搖擺州選民可拿1500元獎金,國際新聞,2024-10-08T01:30:00Z,距離美國總統大選不到一個月，力挺共和黨總統候選人川普的企業大亨馬斯克將砸下重金，尋找搖擺州的川普支持者，幫川普催票。推薦一名住在搖擺州的選民簽署一項聲明可獲得47美元獎勵金。,https://www.ettoday.net/news/20241008/2831102.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/15/2024 12:24:06
news_e5a5b96b2a820fbf9020b0d963d20774,川普造勢遇刺 美特勤局：槍響後才驚覺有刺客,國際新聞,2024-07-31T03:54:30Z,"黃邦平／核稿編輯
美國共和黨總統候選人川普13日於造勢活動竟遭槍擊受傷，官方追查究責，美國特勤局（US Secret Service）代理局長羅威（Ronald Rowe）週二強...…",https://news.ltn.com.tw/news/world/breakingnews/4753935,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/07/2024 12:17:13
news_ac9e884647d3e922cd4193e6c651a2fb,川普暗罵林郁婷是男性！　造勢喊「巴黎奧運有2個變性人」,國際新聞,2024-08-18T06:54:00Z,美國共和黨參選人、前總統川普18日重回遭遇槍擊的賓州舉行造勢活動，他在演說中再次暗喻「台灣拳后」林郁婷是男性，並承諾「會將男性趕出女性運動」。,https://www.ettoday.net/news/20240818/2799743.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/25/2024 12:19:59
news_1e807a06e95b2fa6d67b965d54193336,川普有終結俄烏戰爭計畫 賣關子稱勝選才宣布,國際焦點,2024-09-04T01:00:58Z,（中央社華盛頓3日綜合外電報導）美國前總統川普今天指出，他具有「保證」終結烏克蘭致命戰爭的計畫，但只會在贏得11月美國總統大選後才會透露這些計畫。,https://www.cna.com.tw/news/aopl/202409040029.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/11/2024 12:22:57
news_80aa7f99f04409f6a942515a21743ee6,賀錦麗造勢預告再推經濟政策 協助美國小型企業,國際焦點,2024-09-04T02:20:46Z,（中央社華盛頓3日綜合外電報導）美國副總統賀錦麗競選陣營說，賀錦麗明天將推出計畫協助美國小型企業發展。這位民主黨總統候選人準備在與共和黨對手川普進行重要辯論前充實她的經濟政策。,https://www.cna.com.tw/news/aopl/202409040052.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/11/2024 12:22:57
