識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_369945abac3d1661b0091df8c05176a8,蕭旭岑：預防賴清德「戳眼睛」挑釁中國 換取政治利益,地方新聞,2024-10-08T02:57:14Z,針對國安官員透過外媒釋出賴清德總統發表雙十國慶演說後，中國很可能在台灣周邊舉行軍演，馬英九基金會執行長蕭旭岑今日質疑，讓人憂心這是賴當局的「連環套」，先營造中國軍演的氛圍，然後...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4823699,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/15/2024 12:21:19
news_4e984d439a6cf43998d2e6b4880cf0c5,美民主黨綱首納對台6項保證 國民黨：顯示重視台海未來局勢,地方新聞,2024-08-21T08:22:39Z,美國民主黨於美東時間19日通過2024年版黨綱，首納對台6項保證。國民黨文傳會主委、立委李彥秀今天說，顯示美國對台海未來局勢的重視，美國總統拜登今年就曾多次強調，希望台海兩岸維...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4775891,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/28/2024 12:22:50
news_a738158331fb8a4850219769e5a4ae1d,駁馬英九稱國防預算是錢坑 白委林憶君：確保台灣「嚇阻力量」必要作為,地方新聞,2024-08-05T06:22:24Z,前總統馬英九近日於泰國曼谷演講時稱，若軍購變成美國總統候選人川普口中繳「保護費」的說法，國防預算等於是錢坑法案，會拖垮台灣的財政。對此，民眾黨立委林憶君表示，台灣當前所面對的威...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4759316,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/12/2024 12:17:49
news_4baef3db6f525338ace836fbcca198a6,馬英九「繳保護費變錢坑法案」說法挨轟 藍委林沛祥緩頰,地方新聞,2024-08-05T09:32:00Z,前總統馬英九近日於泰國演說，其中提到的「繳保護費變錢坑法案」說法，被綠營抨擊丟自己和國家的臉，對此，國民黨立委林沛祥今日受訪表示，可以理解馬英九的憂慮，因為就算繳了保護費，美方...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4759577,自由時報,https://news.ltn.com.tw/list/breakingnews/local,08/12/2024 12:17:49
news_639d17b34871fba28f34e7805347f716,美大選瞬息萬變 蔣萬安：台美維持穩固、友好的情誼,地方新聞,2024-07-22T05:52:11Z,蔣萬安今（22）天到信義區視察防颱整備工作，被問到民主黨的美國總統拜登在當地時間21日宣布退出2024年總統大選，支持副總統賀錦麗出馬競選；而共和黨的前總統及2024總統候選人...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4744396,自由時報,https://news.ltn.com.tw/list/breakingnews/local,07/29/2024 12:19:07
news_f84ad286f4f19de0f3919d1f89cc8e82,國民黨：共和黨代表大會觀選團訪美成功 大選前全面擴大交流,地方新聞,2024-07-22T06:22:22Z,國民黨代表團赴美國觀選共和黨代表大會，昨天凌晨抵台，8月預計還將派團前往民主黨代表大會觀選，持續關注美方的政治動態。國民黨今日表示，訪團深入了解美國共和黨的經貿議題、能源議題、...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4744441,自由時報,https://news.ltn.com.tw/list/breakingnews/local,07/29/2024 12:19:07
news_1d47d2307fc0eabdf61f876e11a83ac9,盧秀燕訪美急返台是作秀？ 陳亭妃揭2目的：出發前早知有颱風,地方新聞,2024-07-24T03:20:29Z,台中市長盧秀燕颱風來襲前赴美訪問，昨日又臨時決定折返，颱風假決策又大轉彎，被質疑是作秀。對此，民進黨立委陳亭妃今（24）日批評，盧秀燕出發前就知道有颱風，但盧要做總統候選人，一...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4746683,自由時報,https://news.ltn.com.tw/list/breakingnews/local,07/31/2024 12:18:35
news_4d7c737c2140bbd230c09ed12974fcda,小笠原欣幸分析美國大選  川普若再次當選對台灣將不容易,地方新聞,2024-09-25T05:38:55Z,日本學者小笠原欣幸今天獲頒清大榮譽講座教授，並在清大以台灣政治前局為題演講，分析日本與美國的大選與台灣的關係與影響。小笠原欣幸認為不管日本哪個首相當選，因都與台灣友好，相對影響...…,https://news.ltn.com.tw/news/HsinchuCity/breakingnews/4810490,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/02/2024 12:22:54
news_daaf37199b8bd4f3f5186c5942c35ea7,輕熟女稱「草蜢」蔡一傑來借錢 警苦勸阻：人家還遇到川普咧,地方新聞,2024-09-25T03:03:30Z,台中市34歲徐姓女子23日接獲自稱香港知名唱跳組合「草蜢舞團」成員「蔡一傑」的臉書訊息，以投資名義借款4萬元，想到心儀歌手開口，徐女立即飛奔至銀行準備匯款，卻被銀行員報警攔阻；...…,https://news.ltn.com.tw/news/Taichung/breakingnews/4810301,自由時報,https://news.ltn.com.tw/list/breakingnews/local,10/02/2024 12:22:54
news_f24953c672b5f1fdf8175493ef647165,無論美國大選結果為何 學者寇健文：美中競爭格局不變,地方新聞,2024-10-30T07:57:33Z,美國2024總統大選下週即將舉行，政治大學東亞所特聘教授、國關中心研究員寇健文今（30）日表示，美國大選後的兩岸關係主要可用「口頭善意不變，實際僵局不變」概括，基於大國競爭、地...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4846943,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/06/2024 12:31:24
news_162bec5ffe30da4524a9f84f16c350f8,美戰略模糊反淪中共迫台「破口」 學者馬振坤：新總統須嚴加防範,地方新聞,2024-10-30T08:52:57Z,美國2024年總統大選在即，國防大學中共軍事事務研究所教授馬振坤今直言，美國長期在台海採取的「戰略模糊」無法有效嚇阻中共近年來持續對台施壓的灰區行動（又稱灰色地帶行動），當中共...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4847044,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/06/2024 12:31:24
news_7ceec785fa51aaa958d2e2bda17133da,川普要台灣繳保護費？ 李文忠：應是指提高國防經費、增加軍購,地方新聞,2024-11-04T11:28:53Z,美國明日將舉行總統大選，民主黨候選人賀錦麗（Kamala Harris）與共和黨候選人川普（Donald Trump）誰會出線，受到各界關注。國防安全研究院執行長李文忠今（4）...…,https://news.ltn.com.tw/news/Taipei/breakingnews/4852305,自由時報,https://news.ltn.com.tw/list/breakingnews/local,11/11/2024 12:24:40
