識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_27bf55a51e163ca455f9eeb5221ca723,中國民眾看美總統大選 4歲兒父親憂台海戰爭爆發,國內政治,2024-10-14T09:01:23Z,（中央社北京14日綜合外電報導）隨著台灣問題、貿易紛爭和國際事務緊張加劇，美中兩大強權來到關鍵時刻。中國民眾對美國總統大選抱持濃厚興趣又有些焦慮，無論誰勝選，他們都擔憂國內外未來可能走向。,https://www.cna.com.tw/news/aipl/202410140243.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,10/21/2024 12:21:02
news_5066bafddf948fd9230c374d003b9425,國慶後共軍軍演？美：北京利用例行演說挑釁破壞和平穩定,國內政治,2024-10-09T19:02:33Z,（中央社記者鍾佑貞華盛頓9日專電）總統賴清德將發表上任後的首次國慶演說，國內外高度關注。美方官員及台灣國安人士指出，共軍可能以軍演回應。美國國務院今天表示，北京利用例行年度慶典或公開言論作為挑釁或脅迫的藉口，破壞和平穩定。,https://www.cna.com.tw/news/aipl/202410100007.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,10/17/2024 12:25:24
news_e370d494cf9fef545084b6af55ec2750,美選多政治語言 美媒：防衛台灣問題會再出現,國內政治,2024-07-22T00:16:35Z,（中央社記者廖漢原紐約21日專電）美國共和黨總統候選人川普在媒體專訪中對防衛台灣的說法，造成上週科技類股下跌。華爾街日報專欄作家今天指出，中國政策是美國兩黨重要議題，政治語言只會更喧嘩，防衛台灣的提問在總統競選期間還會再度出現。,https://www.cna.com.tw/news/aipl/202407220017.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,07/29/2024 12:19:18
news_0d11f1f84a5897e7162032acd26c9824,拜登退選 國民黨：持續強化對美交流派員前往觀選,國內政治,2024-07-22T04:40:45Z,（中央社記者王承中台北22日電）美國總統拜登宣布退出2024年總統大選。國民黨今天表示，美國總統大選牽動世界政經局勢，國民黨持續強化對美交流，繼7月派員出席共和黨黨代表大會後，8月中旬也將派員赴美，參加民主黨黨代表大會。,https://www.cna.com.tw/news/aipl/202407220108.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,07/29/2024 12:19:18
news_94b070e7f57d9ede79c00fe151bbdaa2,美國大選變數多  國民黨：中華民國須務實確保國安,國內政治,2024-07-22T05:48:31Z,（中央社記者王承中台北22日電）國民黨今天表示，這次美國總統大選，接連發生前總統川普遭遇槍擊、現任總統拜登宣布退選，增添許多變數，美國大選走向大幅影響全球局勢與美中台關係。無論美國大選結果，中華民國仍須務實確保國家安全，追求自立自強。,https://www.cna.com.tw/news/aipl/202407220130.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,07/29/2024 12:19:18
news_cf4dca6f3b4aa395b6ea19033c655f1a,傳賴總統下令押寶川普  府方駁斥,國內政治,2024-07-22T09:23:17Z,（中央社記者葉素萍台北22日電）媒體報導「賴清德下達美國大選全面押寶川普的指令」，總統府發言人郭雅慧今天表示，同為民主國家，台灣對於美國選舉事務，不會也沒有評論，更遑論有所謂總統下令一事，該報導明顯錯誤。,https://www.cna.com.tw/news/aipl/202407220238.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,07/29/2024 12:19:18
news_04abc35210a0468c72a6b8129d0ebe5c,拜登突退選！　邱毅揭：最後一根稻草是澤倫斯基做了「這件事」,政治新聞,2024-07-22T02:16:00Z,美國總統拜登選情吃緊，民主黨撤換聲音越來越明顯，拜登因此於21日正式宣布退出2024總統大選。對此，邱毅於今（22日）表示，拜登從辯論會表現荒腔走板，支持度大跌，至於「最後一根稻草」，就是澤倫斯基與川普，討論「俄烏戰爭」停火事宜。他認為，目前民主黨最有優勢的賀錦麗面對川普，也根本沒有勝算，拜登此時退選，史無前例，陣前換將更是兵家大忌，民主黨是冒了大風險。,https://www.ettoday.net/news/20240722/2781956.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:19:18
news_fd2db5c77cfbebc644fb45a0354b27a9,川普當選恐衝擊外資信心　金管會：沙盤推演潛在變數,政治新聞,2024-07-22T01:47:00Z,美國總統候選人川普表態台灣應付給美國保護費，台股連2日暴跌近千點，市場高度關注，一旦川普當選，會否衝擊外資對台股信心，金管會主委彭金隆接受中央社專訪時透露，「想好因應對策更重要」，對於可預期的變數，金管會都會進行預演模擬。,https://www.ettoday.net/news/20240722/2782002.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:19:18
news_209a16e6eba1cb1fa40cece7627f09d4,拜登選前四個月退選「似曾相似」　國民黨：符合政黨和國家利益,政治新聞,2024-07-22T01:59:00Z,美國總統拜登（Joe Biden宣布退出2024年的總統選舉，整個美國總統選情局面也為此出現戲劇性急轉。國民黨訪美團成員、國民黨智庫副執行長凌濤指出，選舉的變化很快速，拜登剛剛宣布退出連任選舉。連全球最大的民主政體的現任執政黨，都能在選前4個月改變總統候選人選，壓力是擴及總統、國會，決策好像似曾相似。拜登總統表示退選，是最符合他的政黨和國家的最佳利益，上次候選人心中又何嘗不是有如此想法？,https://www.ettoday.net/news/20240722/2782009.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:19:18
news_1c5a18dff9ea65dafa339bf8e4da8bb2,拜登退選、川普對台言論不友善　蔣萬安：台美情誼仍穩固,政治新聞,2024-07-22T04:34:00Z,美國總統拜登於台灣時間22日凌晨宣布退選，並力挺副總統賀錦麗接替他的位置，角逐白宮大位。對此，台北市長蔣萬安今（22）日受訪時表示，台灣跟美國還是持續有穩固且友好的情誼，也希望持續穩定區域的安全和平。,https://www.ettoday.net/news/20240722/2782153.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,07/29/2024 12:19:18
