識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_7ec61f7fbdeaccc716bdb900e388ef0a,徐華青春書寫「保持真誠」 願用善良方式看待世界,文化新聞,2024-07-30T11:07:05Z,（中央社記者葉冠吟台北30日電）台裔美籍作家徐華以回憶錄「保持真誠」獲得2023年普立茲自傳文學獎，近期他返台宣傳著作，接受中央社記者專訪時分享，保持真誠就是用強大且善良視野看待世界。,https://www.cna.com.tw/news/acul/202407300349.aspx,中央通訊社,https://www.cna.com.tw/list/acul.aspx,08/06/2024 12:16:50
news_76a1a8c35e6bd077aa7683d58e79886c,林郁婷克莉芙摘金、土耳其大叔爆紅 巴黎奧運10大精彩時刻回顧【圖輯】,運動新聞,2024-08-11T13:14:33Z,（中央社巴黎11日綜合外電報導）從色彩繽紛但引發宗教爭議的開幕式，到女拳擊手林郁婷與克莉芙捲入性別風暴仍一舉摘金，巴黎奧運可謂充滿令人難忘的場面，以下為法新社列出值得回顧的十大精彩時刻。,https://www.cna.com.tw/news/aspt/202408110207.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/18/2024 12:17:47
news_13089167878f7b9995810b08316b7103,阿爾及利亞拳擊手性別風暴 川普等人反對生理男打女子賽,運動新聞,2024-08-02T11:21:25Z,（中央社巴黎1日綜合外電報導）阿爾及利亞拳擊選手克莉芙擊敗義大利對手後掀起性別爭議風暴，義國總理梅洛尼稱這不是公平比賽，美國前總統川普、億萬富豪馬斯克等人也表明反對生理男性參與女子賽事。,https://www.cna.com.tw/news/aspt/202408020299.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/09/2024 12:18:25
news_eff276963989d8fa30359f97d635a198,阿爾及利亞金牌拳手克莉芙提告 訴狀點名JK羅琳和馬斯克,運動新聞,2024-08-14T05:06:01Z,（中央社洛杉磯13日綜合外電報導）阿爾及利亞拳擊選手克莉芙在巴黎奧運無端捲入性別爭議風波，根據美國娛樂週刊「綜藝」，克莉芙針對JK羅琳和馬斯克提出刑事訴訟，指控他們涉嫌做出「嚴重的網路騷擾行為」。,https://www.cna.com.tw/news/aspt/202408140120.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/21/2024 12:21:27
news_3f0c503f17ffe26468196e0209d6aa4e,奧運》爭議女拳手的下一戰對手很「匈」!「若贏了男人的她，是更大勝利」,體育新聞,2024-08-02T06:22:06Z,捲入性別檢測風波的阿爾及利亞拳擊女將凱莉芙（Imane Khelif），在奧運女子66公斤級16強賽讓義大利對手卡里妮僅打46秒就棄賽後更成爭議焦點，但她明天8強戰的匈牙...…,https://sports.ltn.com.tw/news/breakingnews/4756756,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/09/2024 12:18:25
news_88aaf409b8193a1c5850762403fe3f52,克莉芙受網路霸凌 法檢立案調查但未點名嫌疑人,運動新聞,2024-08-15T06:55:45Z,（中央社巴黎14日綜合外電報導）巴黎檢察官辦公室今天表示，針對阿爾及利亞拳擊手克莉芙（Imane Khelif）巴黎奧運期間無端因為性別遭到排山倒海批評和不實指控一事，法國檢方已立案展開調查。,https://www.cna.com.tw/news/aspt/202408150175.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/22/2024 12:19:16
news_4e1872f1c6b85726a1804ce3c0ff0ba3,義大利女拳手奧運遭重擊退賽引發性別爭議 向對手致歉盼結束風波,運動新聞,2024-08-03T02:15:21Z,（中央社羅馬2日綜合外電報導）義大利女拳手卡里尼在奧運面對陷入性別檢測爭議的阿爾及利亞選手克莉芙，遭重擊哭泣退賽，引起國際熱議。卡里尼今天接受自家義媒採訪時公開向對方致歉，盼結束風波。,https://www.cna.com.tw/news/aspt/202408030035.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/10/2024 12:17:56
news_d4f915f22224b9f87d22a5e23d5bc501,奧運記者跟風議論林郁婷外型 華郵專欄作家批獵巫,運動新聞,2024-08-03T05:12:11Z,（中央社記者鍾佑貞華盛頓3日專電）台灣女拳王林郁婷捲入性別爭議風波，美國專欄作家布魯爾今天發文表示，林郁婷完勝烏茲別克選手後，他見到一堆記者在場追逐錯誤訊息、對耳語做出評判，並議論林郁婷外表，令人沮喪，「這天已成獵巫行動」。,https://www.cna.com.tw/news/aspt/202408030088.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/10/2024 12:17:56
news_f8ae082c80044df4155643fddcdf52f2,巴黎奧運開幕倒數 納達爾喬科維奇史詩對決精彩可期,運動新聞,2024-07-26T02:09:14Z,（中央社巴黎25日綜合外電報導）巴黎正為史上最具企圖心的奧運開幕式進行最後準備，這場首次於戶外舉行的開幕典禮，現已進入倒數階段。網球男單方面，納達爾和喬科維奇若首輪都順利晉級，將在次輪交手。,https://www.cna.com.tw/news/aspt/202407260051.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/02/2024 12:19:55
news_51070c67c5b853287a06a8511d87eb85,奧運拳擊》林郁婷不該受如此虐待！澳洲女將：媒體濫用權力隨波逐流,體育新聞,2024-08-04T02:58:38Z,"李冠霖／核稿編輯
台灣拳后林郁婷以及阿爾及利亞拳擊女將凱莉芙兩人在去年世錦賽遭國際拳總（IBA）未公開的檢測結果片面認定取消資格，本屆奧運又被舊事重提，甚至吸引名作家J.K...…",https://sports.ltn.com.tw/news/breakingnews/4758286,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/11/2024 12:18:08
news_f0931fe20920c87a05802824c193ee5f,奧運拳擊》網路霸凌阿爾及利亞金牌女將！JK羅琳、馬斯克都被告,體育新聞,2024-08-14T01:43:18Z,"林子翔／核稿編輯


阿爾及利亞拳擊女將哈莉芙（Imane Khelif）在本屆參加巴黎奧運受到性別爭議仍順利奪金粉碎質疑，但與同樣被惡意攻擊的林郁婷不同，他決定提告網路霸...…",https://sports.ltn.com.tw/news/breakingnews/4768219,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/21/2024 12:21:27
news_b872137e04fcd6263837d3018325399f,阿爾及利亞女拳手克莉芙談性別風波：金牌是最佳回應,運動新聞,2024-08-05T02:17:30Z,（中央社巴黎4日綜合外電報導）參加巴黎奧運的阿爾及利亞女子拳擊選手克莉芙（Imane Khelif）說，她近期因性別誤解而遭仇恨審視「有傷人性尊嚴」，呼籲停止霸凌運動員的行為。,https://www.cna.com.tw/news/aspt/202408050053.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/12/2024 12:19:45
news_46a3793cbbf5d1a9a04ca32e4a259b3c,林郁婷高EQ回應川普歧視：我們包容不同聲音,運動新聞,2024-08-18T11:38:36Z,（中央社記者黎建忠台北18日電）美國前總統、共和黨總統候選人川普，今天在造勢活動上，暗指今年巴黎奧運有2名「變性人」選手參賽；對此，林郁婷今天高EQ回應，「這是個友善的社會，我們包容不同聲音」。,https://www.cna.com.tw/news/aspt/202408180173.aspx,中央通訊社,https://www.cna.com.tw/list/aspt.aspx,08/25/2024 12:17:59
news_455bf9bfa9d8d2ddd93acad7b57de08a,奧運拳擊》面對川普惡意攻擊 林郁婷大方回應：我們包容不同聲音,體育新聞,2024-08-18T13:16:33Z,美國前總統川普今天在選舉造勢活動上，提到今年巴黎奧運有兩名「變性人」選手參賽，即便沒有說出姓名，但特別提到是拳擊項目。對於川普的言論，今天出席機能服飾品牌活動的「台灣拳后...…,https://sports.ltn.com.tw/news/breakingnews/4772976,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/25/2024 12:17:59
news_096624c1d21ca525136e4803c12fe1bc,籃球》用柯瑞招牌手勢要川普「洗洗睡」 勇士教頭柯爾為民主黨站台,體育新聞,2024-08-20T05:54:42Z,"田兆崴 ／核稿編輯
美國「民主黨全國代表大會」今天（美東時間19日）登場，擔任美國男籃教頭、NBA金州勇士總教練的柯爾（Steve Kerr）也出席，並用勇士一哥柯瑞（St...…",https://sports.ltn.com.tw/news/breakingnews/4774473,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/27/2024 12:19:23
news_6cd3825b1a9a38976fb221ce41cc44db,董繼玲打開機會之門 籲年輕人正面思考造福人群,文化新聞,2024-09-21T12:04:12Z,（中央社記者邱祖胤台北21日電）年輕人如何打開機會之門，為自己也為他人創造機會，國際領袖基金會創會會長董繼玲今天表示，唯有正面思考、注重健康並成為快樂的人，才有辦法造福人群，成為出色的領導者。,https://www.cna.com.tw/news/acul/202409210233.aspx,中央通訊社,https://www.cna.com.tw/list/acul.aspx,09/28/2024 12:27:44
news_678044c6eedc533adccac7f87e5f904c,奧運》認定林郁婷跨女 羅琳鬧大不認錯,體育新聞,2024-08-02T21:30:00Z,"〔記者倪婉君／綜合報導〕拳擊場上的性別爭議持續延燒，義大利女將卡里妮在女子66公斤級16強賽開打46秒就棄賽並泣訴比賽不公後，讓英國作家J.K.羅琳、義大利總理梅洛尼都聲援，美國共和黨總統候選人川普更誓言「讓男性遠離女性運動」。但爭議拳手凱莉芙今晚8強戰對手，匈牙利好手哈莫莉已準備好上場一較高下。
…",https://sports.ltn.com.tw/news/paper/1659906,自由時報,https://news.ltn.com.tw/list/breakingnews/sports,08/10/2024 12:17:56
news_6e44742e9cdd0d3f23a0c0d822120ccd,音樂就是Peace 郭虔哲率三重奏來台玩古典,文化新聞,2024-10-01T08:54:41Z,（中央社記者廖漢原紐約1日專電）古典樂界年度重頭戲，大提琴家郭虔哲與美國及法國的小提琴家和鋼琴家，以CDK三重奏組合，月底在高雄與台北演出。郭虔哲把演出當作給自己的生日禮物，團聚家族與好友，在紊亂世局中盡音樂家的責任，分享和平。,https://www.cna.com.tw/news/acul/202410010302.aspx,中央通訊社,https://www.cna.com.tw/list/acul.aspx,10/08/2024 12:20:47
