識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_79168732d2994e53e88fbeced5525f53,台指期跌停、反向ETF大漲 法人：中東局勢嚴峻是主因,財經新聞,2024-08-05T07:35:44Z,（中央社記者鍾榮峰台北5日電）台股今天跌勢擴大，加權指數終場重挫1807.21點，跌破2萬點大關，失守半年線，引動台指期跌停、崩跌2152點收在19374點。法人指出，歷史上台指期曾跌停，但跌幅10%是首次出現，中東局勢嚴峻、瀕臨戰爭風險，是台股和台指期今天大跌主因。,https://www.cna.com.tw/news/afe/202408050174.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,08/12/2024 12:19:19
news_21248b5097b5c79ddb4d1ff1c6c5d0d6,惠譽估台灣今年經濟成長率4% 示警3大風險,財經新聞,2024-08-22T04:31:46Z,（中央社記者蘇思云台北22日電）國際信評機構惠譽今天表示，台灣受惠全球人工智慧（AI）發展，預期台灣今年經濟成長率4%，明年放緩到2.7%，並提出3大下行風險，包含主要貿易夥伴經濟成長放緩、AI需求減弱與地緣政治風險等。,https://www.cna.com.tw/news/afe/202408220116.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,08/29/2024 12:21:40
news_55f4fe8f8ee30c62f6b0bff5db0639a6,美國總統大選恐牽動台股 彭金隆：金管會有所準備,財經新聞,2024-07-31T09:18:18Z,（中央社台北31日綜合外電報導）金管會主委彭金隆今天接受路透社訪問時表示，金管會對於美國總統大選任何可能結果都備有應變計畫，無論是川普或賀錦麗勝選。「我們密切關注資本市場的變化。」,https://www.cna.com.tw/news/afe/202407310290.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,08/07/2024 12:17:13
news_c40766c7cd48a9b03706b3d2de4f5496,台股居高震盪！美國重量級科技股財報周將登場　大選觀望濃厚,財經新聞,2024-10-25T09:34:00Z,"台股25日上揚155.93點，漲幅0.67%，指數收在23,348.45點，不過周線中止連3紅，全周下跌138.82點，周線跌幅0.59%，日均量3,546.34億元。",https://finance.ettoday.net/news/2842264,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/01/2024 12:23:27
news_ac9bdaf805f9a95b4cc5fcdda95df275,川普當選不利台灣經濟？專家：跑贏中日韓即遠離威脅,財經新聞,2024-10-25T04:56:51Z,（中央社記者潘姿羽台北25日電）美國總統大選進入倒數，不少人憂心作風強勢的共和黨總統候選人川普當選，不利台灣經濟。台新金控首席經濟學家兼投顧副董事長李鎮宇看好台積電實力，以「4人爬山遇到熊」比喻指出，台灣只要跑贏日韓中，就可遠離威脅。,https://www.cna.com.tw/news/afe/202410250123.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,11/01/2024 12:23:27
news_b73e97c61f5a8cada92cb6f213de5af1,外資買超179億元中止連2賣 賣超星宇航空排第2,財經新聞,2024-10-25T08:35:35Z,（中央社記者曾仁凱台北25日電）科技權值股帶領下，台股今天終場上漲155.93點，收在22348.45點，中止連3黑，收復10日均線約23277點，成交值新台幣3004.72億元；據證交所統計，三大法人今天合計買超180.11億元。,https://www.cna.com.tw/news/afe/202410250227.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,11/01/2024 12:23:27
news_f9da394503a97d4fb9772a0987bd774d,台股上揚及出口商拋匯 新台幣量縮小升收32.071元,財經新聞,2024-10-25T10:19:56Z,（中央社記者潘姿羽台北25日電）市場瀰漫觀望氣氛，不過在美元震盪走弱，以及出口商月底拋匯實質需求支撐下，新台幣兌美元今天量縮收小升，收盤收在32.071元，升值1.4分，台北及元太外匯市場總成交金額12.355億美元。,https://www.cna.com.tw/news/afe/202410250293.aspx,中央通訊社,https://www.cna.com.tw/list/aie.aspx,11/01/2024 12:23:27
news_fd8df0167277e2968791476a763f3a2b,台股2天市值蒸發153座101！老謝：全球震央在日本,財經新聞,2024-08-05T13:25:00Z,台股5日全面血洗，加權指數大跌1807.21點，跌幅高達8.35％，成為歷史上跌幅最高的紀錄。對此，財信傳媒董事長謝金河表示，有報導稱這兩個交易日市值蒸發了153座101大樓，而除了台股以外，日經指數同樣也大跌，今年的漲幅已跌光。,https://finance.ettoday.net/news/2791571,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/12/2024 12:19:19
news_35ee0d435ffaaef001e394fb04d9bfd1,中企洗產地 東南亞太陽能業面臨美關稅壓力,財經新聞,2024-08-21T23:19:28Z,"高佳菁／核稿編輯


〔財經頻道／綜合報導〕東南亞近年蓬勃發展的太陽能產業未來正受到質疑，由於大量中企在當地設廠，試圖規避美國進口關稅，華府正準備將高額關稅擴大至東南亞國家，包括泰國、越南、馬來...…",https://ec.ltn.com.tw/article/breakingnews/4775611,自由時報,https://news.ltn.com.tw/list/breakingnews/business,08/29/2024 12:21:40
news_bf1f938b74ee64f3a69cbb87d2dfa772,台股暴跌1800點 經濟學家：市場3大雜音籠罩,財經新聞,2024-08-05T10:24:02Z,台股今天暴跌超過1800點，創史上最大跌點及跌幅紀錄，國泰世華銀行首席經濟學家林啟超分析，根本原因是美、日、台股乖離率過高，股市漲多自然會回檔，再加上過去一個月有3大重要...…,https://ec.ltn.com.tw/article/breakingnews/4759657,自由時報,https://news.ltn.com.tw/list/breakingnews/business,08/12/2024 12:19:19
news_7c116cb598c41759c5da2a5ffb378d95,中國救市！陸港股ETF全面噴出　00887飆逾3 成最猛,財經新聞,2024-10-04T03:22:00Z,中國股市逢長假休市，港股近日漲勢銳不可擋，帶動台股在休市二日後今（4）日恢復交易陸港ETF噴出走勢，原型ETF永豐中國科技50大（00887）飆漲逾3 成最猛、富邦深100（00639） 上漲也超過2成，槓桿型ETF元大滬深300正2（00637L）、富邦上証正2（00633L）、國泰中國A50正2（00655L）等漲幅也以2成起跳。,https://finance.ettoday.net/news/2828897,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/11/2024 12:24:41
news_e5ef64a69d81503645db41779ebdc9f8,《彭博》揭科技大佬們 ChatGPT發布以來身家暴增上兆元,財經新聞,2024-08-22T05:25:45Z,"歐祥義／核稿編輯


〔財經頻道／綜合報導〕台灣在全球先進晶片行業中佔據主導位置，全球約90%晶片由台灣製造，外媒將台灣先進晶片供應鏈形容為「矽盾」。《彭博》分析10名受惠於的晶片設計、製造及A...…",https://ec.ltn.com.tw/article/breakingnews/4776731,自由時報,https://news.ltn.com.tw/list/breakingnews/business,08/29/2024 12:21:40
news_f02c36e0198122979459a601626edbe9,專家：川普計劃調升關稅 將導致運輸成本飆升,財經新聞,2024-09-13T01:13:35Z,"高佳菁／核稿編輯
〔財經頻道／綜合報導〕航運和零售專家表示，美國共和黨總統候選人川普（Donald Trump）若是在11月總統大選後重返白宮，川普計劃調高進口關稅，此舉將導致貨運成本飆升，並加...…",https://ec.ltn.com.tw/article/breakingnews/4798764,自由時報,https://news.ltn.com.tw/list/breakingnews/business,09/20/2024 12:21:00
news_91c85b234c66531616fcd6ce5258acb3,四維航Q3營收季增13%　明年上半年起有望大賺烏克蘭重建財,財經新聞,2024-10-16T01:28:00Z,四維航(5608)今年9月營收3.12億元，月增0.51%，年增13.32%，第三季營收9.42億元，季增12.68%，在第二季已經轉盈情況下，估計第三季會有更好表現；明年上半年俄烏戰爭有望停戰，四維航旗下24艘輕便系列散裝船最適合彎靠烏克蘭港口，有望大賺烏克蘭重建財；另近兩年受國內旅遊衰退影響的子公司綠舞國際觀光飯店，業績估也將逐漸好轉。,https://finance.ettoday.net/news/2835873,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,10/23/2024 12:28:52
news_265603c1ffdac9ecaf27dd0c391d2da5,SCFI終止連八跌回升5.98%　歐洲線漲最多、台灣市場歐美線雙跌,財經新聞,2024-10-25T08:07:00Z,上海交易所今(25)日下午3點公布的貨櫃運價指數(SCFI)終止連八跌，報2185.33點，漲123.18點，漲幅5.97%，主要漲在跌深的歐洲與地中海航線，漲幅分別為14.15%與10.51%，顯現控艙減班成效，也有助推動11月1日調升運價計畫。不過本周台灣市場歐美線都有降價，顯示減班也讓各地艙位供給狀況不同，市場也變得混亂。,https://finance.ettoday.net/news/2842194,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/01/2024 12:23:27
