UUID,標題,副標,記者,報紙,版次,發稿日期,連結
abd0b138-3952-400c-aa20-c95296a015c6,看經濟影響 藍委：對台衝擊府方太樂觀,,【記者王千豪、蔡晉宇、林銘翰、鄭媁╱台北報導】,聯合報,A7版 2024美國大選 朝野反應,2024-11-07,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444351
c2fbac2b-91bf-4782-a51f-690e49aa4db8,看川普當選 學者：別只想靠美國保護傘,,【記者周佑政、屈彥辰╱台北報導】,聯合報,A7版 2024美國大選 朝野反應,2024-11-07,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444352
d5457696-7a1e-464c-85eb-416a66c49525,台美新局 賴政府必須調整戰略,,【本報記者周佑政】,聯合報,A7版 2024美國大選 朝野反應,2024-11-07,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444348
b87b6b05-962f-4157-bd2b-6beebda01540,國安昨緊急開會 估台海情勢 短期不變,,【記者周佑政、鄭媁、林縉明╱台北報導】,聯合報,A7版 2024美國大選 朝野反應,2024-11-07,https://udndata.com/ndapp/Story?no=4&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444349
d66a38d9-4948-4821-a329-2540a52ad1e9,川普開啟高額保護費時代？,,【本報記者李人岳】,聯合報,A7版 2024美國大選 朝野反應,2024-11-07,https://udndata.com/ndapp/Story?no=5&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444350
ec7cc28f-3dec-4e0c-b8a0-fe0bb3960128,川普強勢回歸,,【本報訊】,聯合報,A6版 2024美國大選 川普再起,2024-11-07,https://udndata.com/ndapp/Story?no=6&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444341
9c08e8e1-c3ae-4e52-91c7-82e669846220,川普勝選感言 讚馬斯克新星,富豪變超級鐵粉 兩人過去曾互罵 今年經磨合懂得各取所需,【編譯周辰陽、梁采蘩╱綜合報導】,聯合報,A5版 2024美國大選 關鍵人物,2024-11-07,https://udndata.com/ndapp/Story?no=7&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444335
cba8459e-7ea5-4ec3-b47a-34d193cac304,外媒：新內閣重忠誠 國安找對中鷹派,,【編譯周辰陽、梁采蘩╱綜合報導】,聯合報,A5版 2024美國大選 關鍵人物,2024-11-07,https://udndata.com/ndapp/Story?no=8&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444336
66598250-e54f-4d9f-b4ba-d9ce8a62549a,小唐納成左右手 恐更走偏鋒,有乃父殺伐之風 取代伊凡卡 未來可能與范斯搭檔進軍白宮,【編譯江昱蓁╱綜合報導】,聯合報,A5版 2024美國大選 關鍵人物,2024-11-07,https://udndata.com/ndapp/Story?no=9&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444334
427ff11c-80a5-4267-bf06-0a26e8956272,操作川粉 范斯「比川普更川普」,,【編譯江昱蓁╱綜合報導】,聯合報,A5版 2024美國大選 關鍵人物,2024-11-07,https://udndata.com/ndapp/Story?no=10&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444333
7071424c-e2ad-470f-8715-26e57c91ff1f,川普難測 美中對抗態勢仍不變,,【本報記者張文馨】,聯合報,A4版 2024美國大選 地緣政治,2024-11-07,https://udndata.com/ndapp/Story?no=11&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444328
29ca5fdc-0de0-4b40-8ed4-d593de754a18,台學者：區域重回「強人博弈狀態」,,【記者陳宥菘╱台北報導】,聯合報,A4版 2024美國大選 地緣政治,2024-11-07,https://udndata.com/ndapp/Story?no=12&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444329
69e85042-b180-4fb5-9064-7bb0d5de2ad1,烏克蘭恐被迫割地求和 北約日韓面臨軍費壓力,,【編譯羅方妤╱綜合報導】,聯合報,A4版 2024美國大選 地緣政治,2024-11-07,https://udndata.com/ndapp/Story?no=13&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444331
3ef8c797-13b5-44ef-99a5-949799bcb2dd,陸學者談與美關係 戰爭外「最壞狀態」,,【特派記者廖士鋒、謝守真╱連線報導】,聯合報,A4版 2024美國大選 地緣政治,2024-11-07,https://udndata.com/ndapp/Story?no=14&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444330
2eff2fb6-bc5d-4969-8ff5-80742bf94c14,保守主義 美主流民意擁抱川普,,【國際中心╱綜合報導】,聯合報,A3版 2024美國大選 全球新局,2024-11-07,https://udndata.com/ndapp/Story?no=15&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444327
35194d5c-2620-4085-8f02-cd341d4e26bc,民調又失準？ 紐時：平手不代表結果接近,2016年多數民調稱希拉蕊領先 最後由川普入主白宮,【編譯馮克芸╱綜合報導】,聯合報,A3版 2024美國大選 全球新局,2024-11-07,https://udndata.com/ndapp/Story?no=16&page=1&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444324
