UUID,標題,副標,記者,報紙,版次,發稿日期,連結
d834f7c5-3eb4-4060-885a-b1229d75b2fc,鮑爾是能力強還是運氣好？,,【陶冬】,經濟日報,A12版 台股熱點,2024-09-09,https://udndata.com/ndapp/Story?no=587&page=30&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-09&news_id=10416596
aebf7377-14cb-4ef8-af01-bdbbbf12b1b0,美元指數 短線弱勢格局,反映市場對Fed降息預期,【文╱林勁傑】,經濟日報,S14版 台股王外幣,2024-08-11,https://udndata.com/ndapp/Story?no=758&page=38&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-08-11&news_id=10402540
ff4930ca-5d08-4640-8fab-fc5e956dff74,成長型基金 長線勝率高,,【記者崔馨方╱台北報導】,經濟日報,B2版 基金,2024-11-07,https://udndata.com/ndapp/Story?no=37&page=2&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444598
00b9ef96-fae7-4e4f-8ca6-0d147501481e,墨拚在地生產 祭租稅優惠,招手外企設廠,【編譯劉忠勇╱綜合外電】,經濟日報,A6版 國際,2024-10-23,https://udndata.com/ndapp/Story?no=321&page=17&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-23&news_id=10437325
99425201-86a1-4eb6-b0c6-309fc93df664,廣達得力 買盤進駐,,【記者周克威╱台北報導】,經濟日報,A14版 台股熱點,2024-11-04,https://udndata.com/ndapp/Story?no=142&page=8&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-04&news_id=10443053
f1d20ee4-8ba2-4155-af95-d985a28c7273,攻勢猛烈 逼川普採取守勢,,【國際中心╱綜合外電】,經濟日報,A2版 話題,2024-09-12,https://udndata.com/ndapp/Story?no=565&page=29&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-09-12&news_id=10418035
a24dfc46-b225-4e46-b977-52be8dde09b8,避險資金 轉進台股四族群,「川普投顧」效應 大盤短線恐震盪,【記者張瀞文╱台北報導】,經濟日報,A1版 要聞,2024-07-22,https://udndata.com/ndapp/Story?no=985&page=50&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-07-22&news_id=10393049
6a01b43e-e1a6-45b9-8b98-7ad06d208cbd,半導體商品受益人續增,,【記者廖賢龍╱台北報導】,經濟日報,B2版 基金,2024-07-23,https://udndata.com/ndapp/Story?no=941&page=48&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-07-23&news_id=10393586
517f654b-10c1-4eb2-9d17-4a67f2f7c4ae,美上季GDP成長2.8%,,【編譯易起宇╱綜合外電】,經濟日報,A2版 話題,2024-10-31,https://udndata.com/ndapp/Story?no=209&page=11&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-31&news_id=10441245
981b01a9-1260-4e4d-a828-357094eaa16d,短多優勢股 法人敲進,,【記者盧宏奇╱台北報導】,經濟日報,C2版 市場脈動,2024-10-29,https://udndata.com/ndapp/Story?no=241&page=13&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-10-29&news_id=10440168
64d5e35d-1196-4ad1-ac25-79b467751452,許勝雄：產業鏈將重新布局,官產回應,【記者林薏茹╱台北報導】,經濟日報,A4版 川普勝選 特別報導,2024-11-07,https://udndata.com/ndapp/Story?no=41&page=3&udndbid=udnfree&SearchString=JiMyNDAyOTsmIzI2MjIyOyuk6bTBPj0yMDI0MDcyMiuk6bTBPD0yMDI0MTEwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=20&select=1&kind=2&article_date=2024-11-07&news_id=10444570
