識別碼,來源媒體,新聞分類,發布日期,新聞連結,folder,新聞標題,Source,LLM
news_6553b3d2bfe375b58c9a6a8a85329a08,中央通訊社,兩岸透視,8/8/2024 11:24,https://www.cna.com.tw/news/acn/202408080344.aspx,兩岸新聞,美媒：中國政府不為經濟下猛藥 恐與美國大選有關,NDC,中立
news_f96a9b85adc662b52dc11caca1a8ca8c,中央通訊社,兩岸透視,9/15/2024 3:03,https://www.cna.com.tw/news/acn/202409150041.aspx,兩岸新聞,深偽技術下 川普賀錦麗合唱「我愛你中國」,NDC,中立
news_6e02115d55b561d5815f92038262ce61,2011 ETtoday.net. All Rights Reserved.,大陸新聞,7/22/2024 9:37,https://www.ettoday.net/news/20240722/2782400.htm,兩岸新聞,拜登還在抗爭？陸學者稱別小看現任總統　川普恐面臨「二打一」,NDC,反對
news_b60e38c4a83f8e1c4bb9258d073a559e,中央通訊社,兩岸透視,8/30/2024 11:40,https://www.cna.com.tw/news/acn/202408300326.aspx,兩岸新聞,中國專家夏偉：美中關係惡化關鍵是習近平,NDC,中立
news_e7dbb298c4ea1cda46543cc7efce471a,中央通訊社,兩岸透視,8/30/2024 14:47,https://www.cna.com.tw/news/acn/202408300385.aspx,兩岸新聞,美大選中國希望誰出線  吳心伯：都不好但川普更糟,NDC,反對
news_e8ebf4d09d79ee4a638b1d747d84d6d5,中央通訊社,兩岸透視,7/23/2024 11:18,https://www.cna.com.tw/news/acn/202407230363.aspx,兩岸新聞,烏克蘭外長訪中 中國學者：烏尋求保險緩解憂慮,NDC,反對
news_be7d43371496b5c7b94401cece7c420b,中央通訊社,兩岸透視,7/23/2024 2:09,https://www.cna.com.tw/news/aopl/202407230040.aspx,兩岸新聞,烏克蘭外長訪中 美媒：尋求結束戰爭之道,NDC,中立
news_1609b7a1ef925e9b6b6011fe4349b853,中央通訊社,兩岸透視,7/23/2024 6:58,https://www.cna.com.tw/news/aopl/202407230205.aspx,兩岸新聞,賀錦麗角逐美總統 專家：對中採取鷹派以求勝,NDC,中立
news_14ddfc26bbb60084e6ecc4d1cddc7fee,2011 ETtoday.net. All Rights Reserved.,大陸新聞,7/23/2024 3:37,https://www.ettoday.net/news/20240723/2782821.htm,兩岸新聞,拜登退選北京「不評論內政」　官方智庫：賀錦麗「接盤俠」具3優勢,NDC,反對
news_da2b2650cb0e415a454e4c5ea5cf8eff,中央通訊社,兩岸透視,8/5/2024 12:14,https://www.cna.com.tw/news/acn/202408050307.aspx,兩岸新聞,厄瓜多停止免簽 玻利維亞成為中國走線客新跳板,NDC,中立
news_f0ef2a6c778d597532b0336191fa215a,中央通訊社,兩岸透視,8/12/2024 8:24,https://www.cna.com.tw/news/acn/202408120202.aspx,兩岸新聞,美媒：川普若當選貿易戰加劇 中國經濟受損更重,NDC,中立
news_d8b9a9be42b797223a2baeb70df52c6e,中央通訊社,兩岸透視,7/25/2024 2:25,https://www.cna.com.tw/news/acn/202407250063.aspx,兩岸新聞,烏克蘭外長訪中  學者：爭取西方以外更多支持,NDC,反對
news_083a37267b78b2c7cc276748d4e27395,中央通訊社,兩岸透視,7/26/2024 8:03,https://www.cna.com.tw/news/acn/202407260250.aspx,兩岸新聞,中國外交斡旋頻繁 分析：目前只具象徵意義,NDC,中立
news_3b5d4b8d34b48009dfa571dd8e7c2b4a,中央通訊社,兩岸透視,8/28/2024 4:17,https://www.cna.com.tw/news/acn/202408280090.aspx,兩岸新聞,蘇利文訪中 紐時：擬為最後一次拜習會鋪路,NDC,中立
news_0281bda95047757d3ec2986d27efef0a,中央通訊社,兩岸透視,7/28/2024 8:49,https://www.cna.com.tw/news/acn/202407280151.aspx,兩岸新聞,日經亞洲分析中共三中全會決定文：習近平為與美脫鉤及連任準備,NDC,中立
news_c34815bf02afb34ec734af3c0bfa029b,中央通訊社,兩岸透視,7/29/2024 11:21,https://www.cna.com.tw/news/acn/202407290311.aspx,兩岸新聞,美媒：繼TikTok後 中國AI軟體Talkie在美也爆紅,NDC,無關
news_05641f9b1c1e382fb4ce6724db309950,中央通訊社,兩岸透視,7/30/2024 2:49,https://www.cna.com.tw/news/acn/202407300047.aspx,兩岸新聞,港媒：後拜登時代  中國以合縱連橫戰略應對美國,NDC,中立
news_7bf10e260e2ad8559f6e28f49ff6e399,中央通訊社,兩岸透視,8/17/2024 10:35,https://www.cna.com.tw/news/acn/202408170194.aspx,兩岸新聞,廈門大學呼籲儘快準備「接管台灣」 文章遭下架,NDC,中立
news_201e70f69dfcecfbed413464e8abda13,中央通訊社,兩岸透視,7/31/2024 2:31,https://www.cna.com.tw/news/aopl/202407310048.aspx,兩岸新聞,美國對中國產品加徵新關稅 將延後至少兩週生效,NDC,中立
news_f1a29af944377e9a7de7e1b9df5ab355,中央通訊社,兩岸透視,9/12/2024 5:14,https://www.cna.com.tw/news/acn/202409120135.aspx,兩岸新聞,美總統大選若變天 北京學者：中美關係重大衝擊,NDC,反對
news_62a3d5460c0a008cea1e8fa1b3d935c5,中央通訊社,兩岸透視,10/23/2024 15:02,https://www.cna.com.tw/news/acn/202410230434.aspx,兩岸新聞,美國大選逼近 中國出口商尋求避險,NDC,反對
news_b0d040d86daa5f4b8b45a4a660a26b51,2011 ETtoday.net. All Rights Reserved.,大陸新聞,9/15/2024 2:26,https://www.ettoday.net/news/20240915/2817338.htm,兩岸新聞,中國女留學生「要追川普小兒子」　自爆已掌握行蹤：等偶遇,NDC,中立
news_38edd5b7d54de668edeb84446942d755,2011 ETtoday.net. All Rights Reserved.,大陸新聞,9/16/2024 13:45,https://www.ettoday.net/news/20240916/2818233.htm,兩岸新聞,少女墜入枯井　奇葩父親實踐「拍攝者不救」堅持先拍照、阻救援,NDC,反對
news_de8c23b72f8be5acb99a0c3818d790de,2011 ETtoday.net. All Rights Reserved.,大陸新聞,10/8/2024 12:27,https://www.ettoday.net/news/20241008/2831706.htm,兩岸新聞,美誰勝選對華競爭戰略不變　金燦榮：以交易形式處理台灣問題,NDC,反對
news_f1e5f1238bb36a9dfe5e5eb0d9d46643,2011 ETtoday.net. All Rights Reserved.,大陸新聞,9/12/2024 5:40,https://www.ettoday.net/news/20240912/2815720.htm,兩岸新聞,11月美選牽動對華政策走向　陸學者：川普勝選將衝擊中美關係,NDC,反對
news_a9f8b1d555a1c44d316c63f7f9e739e1,2011 ETtoday.net. All Rights Reserved.,大陸新聞,8/27/2024 2:56,https://www.ettoday.net/news/20240827/2805076.htm,兩岸新聞,《黑神話：悟空》無法登錄！　Steam一夜遭「28萬次攻擊」,NDC,無關
news_2879bec6672f91cdac4921c1cbeeeb04,2011 ETtoday.net. All Rights Reserved.,大陸新聞,10/28/2024 8:54,https://www.ettoday.net/news/20241028/2843832.htm,兩岸新聞,美媒指中國駭客攔截川普顧問電話　陸：完全是顛倒黑白、倒打一耙,NDC,中立
news_d7aa4811ef84ec724b194ee86a4cfc7e,2011 ETtoday.net. All Rights Reserved.,大陸新聞,8/28/2024 6:45,https://www.ettoday.net/news/20240828/2806114.htm,兩岸新聞,蘇利文訪中　紐時：擬為最後一次拜習會鋪路,NDC,中立
news_2a1711dfaad2bef08d8fb6b6b06e95d4,中央通訊社,兩岸透視,10/29/2024 13:32,https://www.cna.com.tw/news/acn/202410290425.aspx,兩岸新聞,傳中國擬發行10兆人民幣債券救經濟 若川普當選將加碼,NDC,中立
news_6d3aebc07a350bd2102e8aa60bceba94,中央通訊社,兩岸透視,10/30/2024 4:59,https://www.cna.com.tw/news/acn/202410300145.aspx,兩岸新聞,川普保護費論 國台辦：美國永遠奉行「美國優先」,NDC,反對
news_5c893bd04a72a7dd3f319782761e7e64,中央通訊社,兩岸透視,10/30/2024 8:34,https://www.cna.com.tw/news/acn/202410300281.aspx,兩岸新聞,美國總統大選 專家：不管誰當選美中競爭不變,NDC,反對
news_ee9583fc8bf5f49c993526d033ba4c62,中央通訊社,兩岸透視,10/30/2024 9:37,https://www.cna.com.tw/news/acn/202410300334.aspx,兩岸新聞,如果川普勝選 學者：台積電恐有地緣政治壓力,NDC,反對
news_eac401fcf670de3b9000d48083248196,中央通訊社,兩岸透視,10/30/2024 13:20,https://www.cna.com.tw/news/acn/202410300479.aspx,兩岸新聞,美對台戰略模糊 學者：共軍有對台灰區施壓空間,NDC,中立
news_81d1f20e19601b5db2ef81d74c55ff14,中央通訊社,兩岸透視,10/8/2024 10:22,https://www.cna.com.tw/news/acn/202410080360.aspx,兩岸新聞,北京學者談美中競爭 強調關鍵在內政,NDC,反對
news_eff22eebc8803094a59a349ce356eb03,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/5/2024 9:05,https://www.ettoday.net/news/20241105/2849057.htm,兩岸新聞,狙擊手待命、設圍欄！陸保守關注美投票氛圍　學者無奈誰勝都一樣,NDC,反對
news_fba70ee9833fc18c2602c5f8d4901ce4,中央通訊社,兩岸透視,11/4/2024 9:12,https://www.cna.com.tw/news/acn/202411040231.aspx,兩岸新聞,中國救經濟規模將揭曉 分析：聚焦化債多於提振需求,NDC,中立
news_ae843f1e2e2ad4bbe8542b62a20b6cec,中央通訊社,兩岸透視,11/4/2024 9:27,https://www.cna.com.tw/news/acn/202411040240.aspx,兩岸新聞,兩黨標榜拒用中國製造 浙江義烏指數難測美國大選,NDC,中立
news_bfa245ee6e62a77e6d6332092a2ee26d,中央通訊社,兩岸透視,11/6/2024 2:13,https://www.cna.com.tw/news/acn/202411060047.aspx,兩岸新聞,港媒：無論誰當選 美國優先及遏制中國方針不變,NDC,中立
news_71cdb6edcabdcf1b0302846d4ce59229,中央通訊社,兩岸透視,11/3/2024 8:27,https://www.cna.com.tw/news/acn/202411030121.aspx,兩岸新聞,BBC：美中關係惡化下 華裔科學家如履薄冰,NDC,反對
news_eeed3c7eeab8f590a62cf9d475e6c97e,中央通訊社,兩岸透視,11/3/2024 10:15,https://www.cna.com.tw/news/acn/202411030169.aspx,兩岸新聞,中國將端經濟刺激政策 美國總統大選結果左右規模,NDC,中立
news_248f2a62af3f455abd086425b364e166,2011 ETtoday.net. All Rights Reserved.,大陸新聞,11/4/2024 10:27,https://www.ettoday.net/news/20241104/2848416.htm,兩岸新聞,中國救經濟規模將揭曉　分析：聚焦化債多於提振需求,NDC,中立
news_7fcd883126763c960fb930db3ff8cfaa,中央通訊社,兩岸透視,11/5/2024 10:51,https://www.cna.com.tw/news/acn/202411050372.aspx,兩岸新聞,若川普當選 機構：保護主義恐挫中國貿易出口,NDC,中立
news_bee3e667beca082454ffb29374f8f637,中央通訊社,兩岸透視,11/5/2024 8:28,https://www.cna.com.tw/news/acn/202411050263.aspx,兩岸新聞,經濟學人前總編：若川普當選 不會對北京示弱,NDC,中立
